"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1765626999140471272","Thu Mar 07 06:34:15 +0000 2024","2284","Corkcicle souvenir keren dari RUPS Tahunan PT Bank Mandiri (Persero) Tbk atau BMRI. #CeritaRUPS https://t.co/rrnXanO7Na","1765626999140471272","https://pbs.twimg.com/media/GIDEYsdawAA6wG2.jpg","","in","kokogiovanni@gmail.com","178","124","249","https://x.com/KokoGiovanni/status/1765626999140471272","139982550","KokoGiovanni"
"1635557268312948737","Tue Mar 14 08:23:34 +0000 2023","52","RUPS Tahunan Bank Mandiri (BMRI) dengan agenda kedua persetujuan dividen payout ratio sebesar 60% dari total laba bersih. #CeritaRUPS https://t.co/CVjRHDOT2S","1635557268312948737","https://pbs.twimg.com/media/FrKqps5aQAAZij0.jpg","","in","kokogiovanni@gmail.com","0","13","6","https://x.com/KokoGiovanni/status/1635557268312948737","139982550","KokoGiovanni"
"1758069091884236821","Thu Feb 15 14:52:48 +0000 2024","1","@Saham_fess Ada yg mau barengan RUPS BBCA BMRI? Bca lumayan mandiri 2 lot doang tp https://t.co/ZwaUxaREeG","1758142320040686016","https://pbs.twimg.com/media/GGYtEWMbYAAFArm.jpg","Saham_fess","in","Chernobyl","0","6","1","https://x.com/putusayangg/status/1758142320040686016","131132280","putusayangg"
"1869610384275263895","Thu Dec 19 05:07:05 +0000 2024","231","RBC morphology abnormalities in a peripheral blood smear - A list https://t.co/8TxFtPGOCR","1869610384275263895","https://pbs.twimg.com/media/GfIwunUbUAAW1hJ.jpg","","en","India","0","0","64","https://x.com/DrAkhilX/status/1869610384275263895","2556331898","DrAkhilX"
"1501851853885415426","Thu Mar 10 09:25:59 +0000 2022","0","Ikut RUPS BMRI dulu https://t.co/UVrXQk7X2x","1501851853885415426","https://pbs.twimg.com/media/FNemSQZagAIHqFL.jpg","","in","Indonesia","0","0","0","https://x.com/mfr_fauzirahman/status/1501851853885415426","115904724","mfr_fauzirahman"
"1501820784653656066","Thu Mar 10 07:22:32 +0000 2022","12","RUPS Tahunan $BMRI tahun buku 2021 dipimpin oleh bapak Muhammad Chatib Basri (Komisaris Utama/Independen). @ChatibBasri #CeritaRUPS https://t.co/aVczOEDaOf","1501820784653656066","https://pbs.twimg.com/media/FNeKCUIXsAAws6z.jpg","","in","kokogiovanni@gmail.com","2","3","3","https://x.com/KokoGiovanni/status/1501820784653656066","139982550","KokoGiovanni"
"1435144369359650820","Tue Sep 07 07:34:16 +0000 2021","1","Arko as BMRI Investor: Well Im just happy. Semoga 2022 bisa ikutan RUPS yaa https://t.co/nMhKYctGlt","1435144369359650820","https://pbs.twimg.com/media/E-qoMPqVkAY5sya.jpg","","in","Jakarta, IDN.","0","1","0","https://x.com/arkoreborn/status/1435144369359650820","916546058238361607","arkoreborn"
"1767094243758154139","Mon Mar 11 07:44:33 +0000 2024","229"," DO YOU KNOW? BTC - Circulating Supply - 19.6 milion Bit - Price $70.000 RBL - Circulating Supply - 1 6 million Rubi - Price ?????? Leave your comment here!","1767094243758154139","","","en","","3","94","41","https://x.com/RubiGlobal/status/1767094243758154139","1583773000448368640","RubiGlobal"
"1621471334718148609","Fri Feb 03 11:31:06 +0000 2023","5","Rencana Stock Split saham Bank Mandiri ($BMRI) dengan rasio 1:2 dan penyelenggaraan RUPS Tahunan pada 14 Maret 2023. https://t.co/q4dD9fhXAh","1621471334718148609","https://pbs.twimg.com/media/FoCflSMacAIBDDt.jpg","","in","kokogiovanni@gmail.com","0","1","4","https://x.com/KokoGiovanni/status/1621471334718148609","139982550","KokoGiovanni"
"1621479866016174087","Fri Feb 03 12:05:00 +0000 2023","72","[Breaking] $BMRI akan Stock Split 1:2 ‼️ Bank Mandiri mengumumkan rencana Stock Split dengan rasio 1:2. Aksi korporasi ini menunggu persetujuan dari RUPS yang direncanakan akan dilaksanakan pada 14 Maret 2023. https://t.co/QeR4HsaVQD","1621479866016174087","https://pbs.twimg.com/media/FoCiWgkaUAAZHjR.png","","in","Jakarta","12","6","19","https://x.com/Stockbit/status/1621479866016174087","587189716","Stockbit"
"1771453263725932629","Sat Mar 23 08:25:44 +0000 2024","49","Dapat Corkcicle gratis dari RUPS BMRI Dapat dividen https://t.co/QDKbuoT8GU","1771453263725932629","https://pbs.twimg.com/media/GJV3V-Ua4AAzC7D.jpg","","in","kokogiovanni@gmail.com","1","0","2","https://x.com/KokoGiovanni/status/1771453263725932629","139982550","KokoGiovanni"
"1864028878957588746","Tue Dec 03 19:28:11 +0000 2024","4410"," Today at 2.50pm I went OTRB The sarcoma in my leg hurt &amp; grew fast so M&amp;D made the hardest decision ever to let me go even tho it's left them devastated &amp; heartbroken I'll still be bovvering from the bridge yer can't stop a BovverBoy! Love you all pals....Rupe's https://t.co/pMt3ECQs5d","1864028878957588746","https://pbs.twimg.com/media/Gd5cYwsXMAAfFC_.jpg","","en","The BovverBoys TreeHouse, UK ","57","1321","259","https://x.com/jennystape/status/1864028878957588746","715192564509458434","jennystape"
"1864080230438097383","Tue Dec 03 22:52:14 +0000 2024","506","Sad news Brenda...... Rupes me bestest bestie and one-half of the BovverBoys has sadly gone over the rainbow bridge today His family and all his Twitter pals are devastated. @BrendaBlethyn @jennystape #BovverBoys #BovverBoysForever https://t.co/ScH4XXmLXe","1864080230438097383","https://pbs.twimg.com/media/Gd6LFx7XAAA7-f6.jpg","","en","Nottingham, England","2","46","37","https://x.com/Norman_Dillon1/status/1864080230438097383","2799587483","Norman_Dillon1"
"1836107780278661450","Tue Sep 17 18:19:42 +0000 2024","208","We introduced you to RPD Billy last week from @BCHPoliceDogs and specifically @bedspolice. Billy developed a worrying lump on his side so his handler &amp; now Mum thought it best to have a biopsy. We were delighted to pick up the bill &amp; even happier to learn today the results https://t.co/qQXgFx7jHX","1836107780278661450","https://pbs.twimg.com/amplify_video_thumb/1836107704584003584/img/8bVFPB-1SFIPPNPH.jpg","","en","United Kingdom","0","10","15","https://x.com/The_NFRSA/status/1836107780278661450","1413123004444430344","The_NFRSA"
"1603584442320265217","Fri Dec 16 02:54:58 +0000 2022","277","Idiopathic intracranial hypertension: MRI features. #Neurology #Neurotwitter #MRI #educational #Tweetorial 1/ https://t.co/zm9pJKXPkF","1603584442320265217","https://pbs.twimg.com/media/FkESVwVWIAAHfaQ.jpg","","en","Mexico City, Mx","5","4","86","https://x.com/MedinaRiojaMD/status/1603584442320265217","1138982294633537536","MedinaRiojaMD"
"1151114115341066242","Tue Jul 16 12:59:26 +0000 2019","196","Paul Lauterbur put this up in our lab in 1996 original writing in red ink. Take heart people even the paper describing MRI was first rejected. Also moving is hard but digging up these gems from the past is beautiful. @NeuroDx @MRInicole #MRI #ISMRM https://t.co/183BaU0pQw","1151114115341066242","https://pbs.twimg.com/media/D_mULlSXkAEWEn4.jpg","","en","Ann Arbor, MI","9","7","64","https://x.com/MRIvikas/status/1151114115341066242","32968881","MRIvikas"
"1765670890816377048","Thu Mar 07 09:28:39 +0000 2024","3","RUPS $BMRI setujui dividen Rp354/Saham Yield setara 5% https://t.co/rIaqQE2wWN","1765670890816377048","https://pbs.twimg.com/media/GIDsUT4a8AApFl-.jpg","","in","","0","0","1","https://x.com/SobatBandar/status/1765670890816377048","1409160713252179975","SobatBandar"
